2026-09-22	subread	projects	SubRead
2026-09-22	sbm-sync	projects	sbm Sync
2026-09-22	rebind	projects	Rebind
2026-05-12	lisprant		Lisp Rant
2025-09-09	aintitinit-Claude-INITIALIZER	articles	aintitinit: Claude INITIALIZER
2025-09-08	Hackermen-neomutt-config	articles	Hackermen neomutt config
2025-09-08	REPL-Driven-Development-as-an-analogy-for-proper-AI-Driven-Development	articles	REPL Driven Development as an analogy for proper AI Driven Development
2025-09-07	Minimal-nvim-config-optional-AI-slop-enjoy	articles	Minimal nvim config optional AI slop (enjoy!)
2025-09-07	Using-an-init-system-for-many-instances-of-simple-programs	articles	Using an init system for many instances of simple programs
2025-09-06	Mailing-list-in-one-line	articles	"Mailing list" in one line
2025-09-06	Dont-use-make-uninstall	articles	Don't use make (un)install
2025-09-06	tmpl-insanely-simple-templates	articles	tmpl: insanely simple templates
2025-09-05	tag-gen	articles	tag-gen
2025-09-04	Nixtoo-Genux-released	articles	Nixtoo Genux™ released
2025-11-13	Install-Nix-on-Gentoo	articles	Install Nix on Gentoo
2025-09-03	POSIX-pipes-for-Lisp	projects	POSIX pipes for Lisp
2025-09-11	Add-my-RSS-feed-to-your-feed-reader	articles	Add my RSS feed to your feed reader
2025-09-01	dmenu-scripts-repo-released	articles	dmenu scripts repo released
2025-09-11	install-9front	articles	install 9front
2025-09-11	A-new-way-to-release-code	articles	A new way to release code
2025-09-11	Hey-kids-want-to-learn-the-unix-way	articles	Hey kids, want to learn the unix way
2025-09-11	Why-YOU-need-NixOS-on-your-desktop-and-servers	articles	Why YOU need NixOS on your desktop and servers
2025-09-11	Git-extra-worktrees-ROCK	articles	Git extra worktrees ROCK
2025-09-11	Start-emailing-your-patches-GUIDE	articles	Start emailing your patches GUIDE
2025-11-13	Generate-your-OWN-internet-web-site-easily	articles	Generate your OWN internet web site easily
2025-08-30	iilchat-setup-too-easy	articles	ii/lchat setup (too easy)
2025-09-11	Get-on-mailing-lists-like-it-is-1989	articles	Get on mailing lists like it is 1989
2025-09-11	Polyglot-Podcast-Now-Goes-on-The-YouTubecom-Website	articles	Polyglot Podcast Now Goes on The YouTube.com Website
2025-09-11	New-podcast-about-polyglot-language-learning-LISTEN-NOW	articles	New podcast about polyglot language learning (LISTEN NOW!)
2025-08-09	New-book-coming-soon-about-language-learning-for-multiple-languages-PREORDER-NOW	articles	New book coming soon about language learning (for multiple languages)! PREORDER NOW!
2025-08-08	Polyglot-Radio-is-Dead-Long-Live-The-Queue-Antennapod-shill-post	articles	Polyglot Radio is Dead: Long Live The Queue (Antennapod shill post)
2025-09-06	How-to-Learn-a-Language-According-to-The-Internet	articles	How to Learn a Language According to The Internet
2025-08-09	3000-Vocab-Flashcards-3k-Final-Solution	articles	3000 Vocab Flashcards (3k Final Solution)
2024-05-21	AJATT-All-Japanese-All-The-Time-Mirror-at-xm0co	articles	AJATT (All Japanese All The Time Mirror) at xm0.co
2024-05-21	Fish-Based-Navigation	articles	Fish-Based Navigation
2024-05-21	install-gentoo-hints	articles	install gentoo hints
2024-05-21	Install-Anki	articles	Install Anki
2024-05-21	Learn-Kanji-in-a-Fortnight	articles	Learn Kanji in a Fortnight
2024-05-21	Turn-an-android-into-247-portable-polyglot-radio	articles	Turn an android into 24/7 portable polyglot radio
2024-05-21	Unanglo-your-literacy-materials-and-your-life	articles	Unanglo your literacy materials (and your life)
2024-05-21	Dont-Self-Host-Self-Locally	articles	Don't Self-Host: Self-Locally
2024-05-21	WhyHow-to-host-a-bunch-of-crap-locally	articles	Why/How to host a bunch of crap locally
2024-05-21	How-to-take-notes-not-self-help-advice	articles	How to take notes: not self-help advice
2024-05-21	How-to-manage-100000-digital-books-in-15-languages	articles	How to manage 100,000 digital books in 15 languages
2024-05-21	How-Japanese-Aquire-Books	articles	How Japanese Aquire Books
2023-09-22	sbm	projects	sbm
2019-04-28	Newport	projects	Newport
2019-07-02	SL--Dependency-Language	articles	SL--Dependency Language
2019-06-22	Forthe		Forthe
2019-04-29	Toplevel-Macros-in-Alexandria-Code-Revival-Project	articles	Toplevel Macros in Alexandria: Code Revival Project
2019-01-07	CSV	projects	CSV
2018-12-29	How-to-Beat-Emacs-M-x-dunnet-in-5-minutes	articles	How to Beat Emacs M-x dunnet in 5 minutes.
2018-11-26	Brazil	articles	Brazil
